site;lon;lat
A-Frame;18.468;-34.2072
Baboon Rock;18.47824;-34.25525
Batsata Rock;18.4802;-34.2768
Betty's Bay;18.911;-34.361
Bordjies Reef;18.463188;-34.310219
Buffels Bay;18.470217;-34.332867
De Hoop;20.55;-34.46
Hout Bay;18.33505;-34.06226
Kalk Bay;18.4564;-34.1214
Kommetjie;18.31648;-34.13173
Miller's Point;18.47726;-34.23031
Olifantsbos;18.3755;-34.2564
Oudekraal;18.346194;-33.984972
Rocky Bank;18.467139;-34.366278
Roman Rock;18.46056;-34.18153
Scarborough;18.3654;-34.23871
Sea Point;18.382165;-33.918469
Soetwater;18.3375;-34.1764
St. Helena Bay;17.98026;-32.71841
St. James;18.4590731;-34.1188811
Bakoven;18.375025;-33.955275
Yzerfontein;18.147258;-33.353570
